artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
KLAR,Shut Your Eyes,single,1.0,spotify_playlist_api,KLAR - Shut Your Eyes,https://open.spotify.com/track/29jvLxwNhiFFudgJOgAw83,Spotify Playlist,2025-10-17,https://open.spotify.com/track/29jvLxwNhiFFudgJOgAw83,True
Joe Hunt,Renegade Masta,single,1.0,spotify_playlist_api,Joe Hunt - Renegade Masta,https://open.spotify.com/track/76TUTPypvgjIlMz3tFcqNq,Spotify Playlist,2025-10-24,https://open.spotify.com/track/76TUTPypvgjIlMz3tFcqNq,True
ILLENIUM,With Your Love,single,1.0,spotify_playlist_api,ILLENIUM - With Your Love,https://open.spotify.com/track/3T1CFsOfNi9Dy9cMtjNdEQ,Spotify Playlist,2025-11-07,https://open.spotify.com/track/3T1CFsOfNi9Dy9cMtjNdEQ,True
BLR,Feeling Good,single,1.0,spotify_playlist_api,BLR - Feeling Good,https://open.spotify.com/track/5sbw5REgvhYa1JAxE1mCgr,Spotify Playlist,2025-10-24,https://open.spotify.com/track/5sbw5REgvhYa1JAxE1mCgr,True
CID,Fancy $hit,single,1.0,spotify_playlist_api,CID - Fancy $hit,https://open.spotify.com/track/6Ar3apWGoJLPZ3zy6Eb94F,Spotify Playlist,2025-09-05,https://open.spotify.com/track/6Ar3apWGoJLPZ3zy6Eb94F,True
R3HAB,In My Head,single,1.0,spotify_playlist_api,R3HAB - In My Head,https://open.spotify.com/track/53neEmYNBRbGmBC2PyBROj,Spotify Playlist,2025-10-24,https://open.spotify.com/track/53neEmYNBRbGmBC2PyBROj,True
Natascha Polké,Let Myself Go,EP,1.0,spotify_playlist_api,Natascha Polké - Let Myself Go,https://open.spotify.com/track/4QSeTgII6hxgHk9ZsBxIMH,Spotify Playlist,2025-11-07,https://open.spotify.com/track/4QSeTgII6hxgHk9ZsBxIMH,True
twocolors,Chemical,single,1.0,spotify_playlist_api,twocolors - Chemical,https://open.spotify.com/track/3i4cqv5kDL8yrtDh0nhLOt,Spotify Playlist,2025-09-26,https://open.spotify.com/track/3i4cqv5kDL8yrtDh0nhLOt,True
Alesso,Destiny,single,1.0,spotify_playlist_api,Alesso - Destiny,https://open.spotify.com/track/226k90b2zBBhhnHtF5G7bB,Spotify Playlist,2025-10-17,https://open.spotify.com/track/226k90b2zBBhhnHtF5G7bB,True
Jubël,Waiting For A Star To Fall - MistaJam Remix Edit,single,1.0,spotify_playlist_api,Jubël - Waiting For A Star To Fall - MistaJam Remix Edit,https://open.spotify.com/track/2RTWTzkAM01SRPMJMFqE1b,Spotify Playlist,2025-09-26,https://open.spotify.com/track/2RTWTzkAM01SRPMJMFqE1b,True
Felix Jaehn,NOW'S A GOOD TIME TO BE,album,1.0,spotify_playlist_api,Felix Jaehn - NOW'S A GOOD TIME TO BE,https://open.spotify.com/track/2Qu8Kb8WJwUMUwr5y9R1f9,Spotify Playlist,2025-10-09,https://open.spotify.com/track/2Qu8Kb8WJwUMUwr5y9R1f9,True
Demi Lovato,Here All Night - INJI Remix,single,1.0,spotify_playlist_api,Demi Lovato - Here All Night - INJI Remix,https://open.spotify.com/track/2zkZbmGdYDLhWY6Mz7f1Gt,Spotify Playlist,2025-10-01,https://open.spotify.com/track/2zkZbmGdYDLhWY6Mz7f1Gt,True
Gestört aber GeiL,Like a Prayer,single,1.0,spotify_playlist_api,Gestört aber GeiL - Like a Prayer,https://open.spotify.com/track/6wpcotMKQ5mlnMJdHrFQZP,Spotify Playlist,2025-09-12,https://open.spotify.com/track/6wpcotMKQ5mlnMJdHrFQZP,True
DJs From Mars,Hollow Way,single,1.0,spotify_playlist_api,DJs From Mars - Hollow Way,https://open.spotify.com/track/49BSdAnHVdD6AJrNVWUWo5,Spotify Playlist,2025-10-17,https://open.spotify.com/track/49BSdAnHVdD6AJrNVWUWo5,True
joki,Sagora,single,1.0,spotify_playlist_api,joki - Sagora,https://open.spotify.com/track/2jvdGgA0XTo3BdHkqFMUcx,Spotify Playlist,2025-10-10,https://open.spotify.com/track/2jvdGgA0XTo3BdHkqFMUcx,True
The Ironix,Ton Coeur,single,1.0,spotify_playlist_api,The Ironix - Ton Coeur,https://open.spotify.com/track/0enEnNIIloRjE89FBYBXzL,Spotify Playlist,2025-09-26,https://open.spotify.com/track/0enEnNIIloRjE89FBYBXzL,True
bullet tooth,A Place You Wanna Go (Good Life),single,1.0,spotify_playlist_api,bullet tooth - A Place You Wanna Go (Good Life),https://open.spotify.com/track/0aDKvLIttZfWCA0zFjVn92,Spotify Playlist,2025-10-03,https://open.spotify.com/track/0aDKvLIttZfWCA0zFjVn92,True
Jubël,Waiting For A Star To Fall - Hix Remix Edit,single,1.0,spotify_playlist_api,Jubël - Waiting For A Star To Fall - Hix Remix Edit,https://open.spotify.com/track/2pXyUW4oQeZs0bMl8eUCP1,Spotify Playlist,2025-10-03,https://open.spotify.com/track/2pXyUW4oQeZs0bMl8eUCP1,True
