artist_name,soundcloud_url,soundcloud_user_id,genres,edm_match_terms,followers_count,track_count,country,city
VisionV,https://soundcloud.com/visionvmusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,99046978,"Dance & Electronic (Dance | Techno | Disco) | Dance | Dance Pop | Pop | House | Electronic ""Tech House",club | dance | deep house | electronic | house | tech house | techno,9280,32,Austria,Vienna
it's murph,https://soundcloud.com/its-murph-987074444?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1172329183,House | Dance,dance | house,46447,35,,
Tsu Nami,https://soundcloud.com/tsunamimusicx?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,124902215,"Dance & EDM | CLUB TSU | perfume ""tsu nami"" iaby | CLUBTSU | hardstyle | Hardstyle",club | dance | edm,11002,38,,LA
The Revivalists,https://soundcloud.com/therevivalists?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,28279402,Alternative,bass,9355,142,,New Orleans
"Nikita, the Wicked",https://soundcloud.com/nikitathewicked?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,33595244,"Dance & EDM | Electronic | Dance & EDM"" Electronic | Bass",bass | dance | edm | electronic,11524,44,United States,"San Francisco, CA"
mild high club,https://soundcloud.com/mild-high-club?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,78257854,Alternative Rock | Indie,club,14039,46,,
RetroVision,https://soundcloud.com/retro_vision?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,23288780,"Electronic | Color Bass | Dance & EDM | Dubstep | Future House | Trap | Skrillex | RetroVision Flip"" ""Dom Dolla & MK"" ""Dom Dolla"" MK ""Rhyme Dust"" ""Rhyme Dust Remix"" ""Rhyme Dust Flip | More Bass More Good | retrovision mofalk | hands up"" hands up morebassmoregood more bass good",bass | dance | dubstep | edm | electronic | future house | house | trap,44943,58,France,Aix-en-Provence
Two Door Cinema Club,https://soundcloud.com/two-door-cinema-club?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1087216,Alternative | Electronic | Dance,club | dance | electronic,3170022,221,Britain (UK),London
Sammy Virji,https://soundcloud.com/sammyvirji?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,33443491,Dance,dance,159483,89,Britain (UK),London
D.O.D,https://soundcloud.com/d-o-d?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,634670,"Dance & EDM | Dance House | Dance | Pop | House | Dance & Electronic (Dance | Techno | Disco) | Dance Pop | House ""Dance & EDM | Deep House"" House Ambient | house dance electronic",club | dance | deep house | edm | electronic | house | techno,65590,146,Britain (UK),Lancaster
Rydz,https://soundcloud.com/rydz_music?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,337383883,"House | Deep House"" ""afro house"" House | House afrohouse Latin latinhouse Salsa Summer | house afrohouse Summer | Melodic melodictechno afrohouse Mix | afrohouse Melodic Progressive | House ""Deep House"" ""afro house"" Melodic | djset House sunset afrohouse ""Deep House"" Melodic | Afro House | afrohouse melodichouse melodictechno | MWAKI HOUSE MELODICTECHNO",afro house | dance | deep house | electronic | house | progressive house | techno,3007,21,France,Paris
Tiny Habits,https://soundcloud.com/tiny-habits?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1161199606,Alternative,dance,751,28,United States,Boston
CARRTOONS,https://soundcloud.com/carrtoons?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,18780390,Hip Hop | Rap | R&B | Soul,bass,3772,99,United States,New York
Charlotte Plank,https://soundcloud.com/charlotteplankmusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,224673620,"Dance | Electronic | EDM Electronic ""Electronic Pop"" Electronica Electropop Pop Techno",dance | edm | electronic | electronica | techno,4838,54,Britain (UK),
silvershore,https://soundcloud.com/silvershore?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1095361099,"Pop | Dance | House | chill house"" lofi chillhop botanica chill ""porter robinson"" remix flip nurture | house chill Ambient organic 4x4 | Electronica",dance | electronic | electronica | house,237,21,,bristol
Marian Hill,https://soundcloud.com/marianhill?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,39295685,Electronic,bass | club | electronic | trap,83555,88,United States,"Philadelphia, PA"
Tony Romera,https://soundcloud.com/tonyromera?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,2704433,"House | Live ""comfort zone"" toronto set house ""tech house"" ""minimal house | Dance | Tech House | House ""Tech house | Dance - House",dance | house | tech house,54002,105,France,Lyon
KyDro,https://soundcloud.com/kydromusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,44311291,"Trap | 140 Trap ukg bass texas Experimental | A$AP "" Rocky ASAP Stoleyaflow Remix stole ya flow bass Trap ""all black"" ""A$AP Rocky"" ""Stole Ya Flow | Trap Halloween Spooky Bass ""Experimental Bass"" Wave ""Future Wave"" ""Future Bass"" Sable ""Alter Ego"" ""Quality Goods"" Awakening | Halloween Trap Bass Kydro Spooky Scary isoxo Texas dub dubstep freakydeaky mix 2023 houseofusher knockatthecabin deathproof techno experimental horror sable sablevalley | trap chilltrap tribal tribaltrap texas Edm noir kydro tanto",bass | dubstep | edm | house | techno | trap | ukg,360,18,United States,"Houston, TX"
NoisyBoy,https://soundcloud.com/noisy_music?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,318676581,"Dubstep | Dance & EDM | Dubstep Trap house ""Dance & EDM"" insomniac set 150bpm noisyboy hype | dubstep house ukg Mix set Trap ""Hip Hop"" Edm Bass bassline bassmusic Electronic Electro Riddim Dj Dub Garage | Reggae Reggaeton ""dubstep "" dnb glitch spanish edm bassmusic trap ""Hip Hop"" rap rnb noisyboy new | Trap Dubstep ""Dance & EDM"" texas hard gym ""hybrid trap"" skrillex isoxo knock2 peekaboo ""150 bpm "" southside noisyboy | 140 BPM | Hard | Trap | UK Grime | EDM | Electronic Dance Music | Dubstep Trap ""Hip-hop & Rap"" ""Dance & EDM"" 140 skrillex south texas | Dance & EDM"" House ""Deep House"" BASSHOUSE KPOP GALCHANIE EDC RNB JTAJOR LOVE SKRILLEX VALENTINESDAY 120BPM BEATPORT TIDAL SPOTIFY rave abg",bass | dance | deep house | dnb | dubstep | edm | electronic | garage | house | trap | ukg,3205,41,United States,Texas
whoismgmt,https://soundcloud.com/whoismgmt?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,2680724,Children | Electronic | Experimental,electronic,4844817,124,United States,"Brooklyn, NY"
